osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,ref,bridge,junction
4828405,True,2,Avenida Francisco Bolognesi,secondary,50,False,56.641,"LINESTRING (-77.0612641 -12.0043119, -77.0607483 -12.0042417)",,N/A,,
1007645172,True,2,Avenida Industrial,secondary,50,False,48.682,"LINESTRING (-77.058111 -12.0037202, -77.0585529 -12.0037898)",,N/A,,
"[70601036, 1156337829]",False,,Calle Cahuide,residential,,False,137.776,"LINESTRING (-77.058111 -12.0037202, -77.0581241 -12.00365, -77.0582933 -12.0024941)",,N/A,,
110154262,True,2,Avenida Alfredo Mendiola,secondary,40,False,64.87299999999999,"LINESTRING (-77.0617154 -12.0040879, -77.0617368 -12.0039095, -77.0617835 -12.0035083)",,N/A,,
70601042,False,,Calle Chincha,residential,40,True,50.751,"LINESTRING (-77.057832 -12.0024254, -77.0582933 -12.0024941)",,N/A,,
1007645172,True,2,Avenida Industrial,secondary,50,False,93.827,"LINESTRING (-77.057832 -12.0024254, -77.0577826 -12.0027953, -77.0577203 -12.0032621)",,N/A,,
343230730,False,,12 de Junio,residential,,False,18.732,"LINESTRING (-77.0577203 -12.0032621, -77.05755 -12.003237)",,N/A,,
1007645172,True,2,Avenida Industrial,secondary,50,False,55.185,"LINESTRING (-77.0577203 -12.0032621, -77.057737 -12.00333, -77.0577637 -12.0033948, -77.0578263 -12.0035035, -77.0578498 -12.003536, -77.0578607 -12.0035511, -77.0579028 -12.0035972, -77.0579441 -12.0036324, -77.0579921 -12.0036667)",,N/A,,
330462036,True,,Avenida Francisco Bolognesi,tertiary,50,False,15.39,"LINESTRING (-77.0576867 -12.0037879, -77.0575471 -12.0037653)",,N/A,,
4828411,True,,Avenida Industrial,secondary,50,False,71.85300000000001,"LINESTRING (-77.0576867 -12.0037879, -77.0576009 -12.0037424, -77.0575549 -12.0037114, -77.0575355 -12.0036893, -77.0575243 -12.0036766, -77.0575028 -12.0036371, -77.0574946 -12.0035733, -77.0574989 -12.0035002, -77.05755 -12.003237)",,N/A,,
1155899252,True,,Avenida Los Pinos,tertiary,40,False,12.476,"LINESTRING (-77.0550446 -11.9977285, -77.0551593 -11.9977298)",,N/A,,
173557912,True,,María Parado de Bellido,secondary,40,False,94.54,"LINESTRING (-77.0550446 -11.9977285, -77.0550468 -11.9976329, -77.0550471 -11.99762, -77.0550462 -11.9976013, -77.0550379 -11.9974195, -77.0550209 -11.9969293, -77.05502 -11.9968788)",,N/A,,
118423721,False,2,Jirón Independencia,residential,,False,167.855,"LINESTRING (-77.0553937 -11.9952383, -77.0539637 -11.9946707)",,N/A,,
333482716,True,1,María Parado de Bellido,secondary,40,False,42.01,"LINESTRING (-77.0553937 -11.9952383, -77.05552 -11.9950161, -77.0555866 -11.9949111)",,N/A,,
118423703,True,2,Jirón Jose Marti,tertiary,,False,40.876,"LINESTRING (-77.0560441 -11.9941721, -77.0557947 -11.9939831, -77.0557478 -11.993946)",,N/A,,
333482716,True,1,María Parado de Bellido,secondary,40,False,94.14,"LINESTRING (-77.0560441 -11.9941721, -77.0561232 -11.9940492, -77.0564373 -11.9935616, -77.0565083 -11.9934576)",,N/A,,
"[333482409, 331561315]",True,2,Avenida Túpac Amaru,primary,60,False,299.097,"LINESTRING (-77.0575659 -11.9857104, -77.0576865 -11.9851998, -77.0577019 -11.9851348, -77.057801 -11.9847115, -77.0579058 -11.9842473, -77.0581405 -11.9832402, -77.0581565 -11.9831715, -77.0581759 -11.9830876)",,N/A,,
589500094,True,,Lloque Yupanqui,secondary,40,False,48.182,"LINESTRING (-77.0575659 -11.9857104, -77.0574212 -11.9856722, -77.05722 -11.9856167, -77.0571391 -11.9855944)",,N/A,,
333868538,True,,Avenida Carlos Alberto Izaguirre,secondary,50,False,11.052,"LINESTRING (-77.0572087 -11.9890743, -77.0571084 -11.9890584)",,N/A,,
"[444489483, 333868539]",True,2,Calle Gerardo Unger,tertiary,40,False,425.659,"LINESTRING (-77.0572087 -11.9890743, -77.057207 -11.9891582, -77.0572032 -11.989262, -77.0572119 -11.9894331, -77.0572578 -11.9897466, -77.0572849 -11.9899438, -77.0573493 -11.99048, -77.0573841 -11.9908009, -77.0574167 -11.9911915, -77.0574553 -11.9919216, -77.0574574 -11.9922718, -77.0574495 -11.9924238, -77.0574355 -11.9925763, -77.0574138 -11.9927321, -77.0573845 -11.9928844)",,N/A,,
313291480,True,,Calle Gerardo Unger,tertiary,40,False,161.86,"LINESTRING (-77.0580587 -11.9868434, -77.0580353 -11.9869449, -77.0580073 -11.9870121, -77.057692 -11.9876606, -77.0575087 -11.9880298, -77.057427 -11.9881573)",,N/A,,
589500092,False,,,residential,,True,51.219,"LINESTRING (-77.0580587 -11.9868434, -77.0581341 -11.9868541, -77.0585247 -11.9869096)",,N/A,,
1160268403,False,2,,busway,,True,42.744,"LINESTRING (-77.0596879 -11.9769892, -77.0596886 -11.9771999, -77.0596887 -11.9772397, -77.0596888 -11.9772794, -77.0596883 -11.9773736)",no,N/A,,
115610885,True,2,Avenida Gerrado Unger,secondary,50,False,22.752,"LINESTRING (-77.0602143 -11.9767618, -77.0601736 -11.9769625)",,N/A,,
1157019074,True,2,Avenida Naranjal,trunk,50,False,19.417,"LINESTRING (-77.0602143 -11.9767618, -77.060056 -11.9768425)",,N/A,,
70629686,False,,Calle Las Maracuyás,residential,,True,33.829,"LINESTRING (-77.0611814 -11.9835799, -77.0611335 -11.9838805)",,N/A,,
330462208,False,,Calle Las Maracuyás,residential,,False,11.704,"LINESTRING (-77.0611814 -11.9835799, -77.0612015 -11.9834765)",,N/A,,
892110211,True,,Avenida Los Alisos,secondary,60,False,207.459,"LINESTRING (-77.0611814 -11.9835799, -77.0611224 -11.9835721, -77.0592942 -11.9833099)",,N/A,,
70634056,False,,Jirón Las Paltas,residential,,True,11.642,"LINESTRING (-77.0624939 -11.9837911, -77.0625131 -11.9836881)",,N/A,,
339746610,True,,Avenida Los Alisos,secondary,30,False,144.68200000000002,"LINESTRING (-77.0624939 -11.9837911, -77.0612675 -11.9835937, -77.0611814 -11.9835799)",,N/A,,
1156127503,False,,Pasaje San MartÍn,residential,,True,6.684,"LINESTRING (-77.0587912 -11.9891732, -77.0588006 -11.9891138)",,N/A,,
313291489,True,,Avenida Carlos Alberto Izaguirre,secondary,50,False,96.913,"LINESTRING (-77.0587912 -11.9891732, -77.0593006 -11.9892473, -77.0595186 -11.9892777, -77.0595598 -11.9892836, -77.0595922 -11.9892882, -77.0596727 -11.9893001)",,N/A,,
313291480,True,,Calle Gerardo Unger,tertiary,40,False,15.444,"LINESTRING (-77.0572138 -11.9889355, -77.0572087 -11.9890743)",,N/A,,
313291489,True,,Avenida Carlos Alberto Izaguirre,secondary,50,False,95.101,"LINESTRING (-77.0572138 -11.9889355, -77.0573368 -11.9889538, -77.0580776 -11.9890678)",,N/A,,
331573670,True,3,Avenida Túpac Amaru,primary,,False,91.07400000000001,"LINESTRING (-77.0568386 -11.9887131, -77.0568684 -11.988509, -77.0569124 -11.988302, -77.057008 -11.9879116)",,N/A,,
432812235,True,2,Avenida Tomás Valle,primary,50,False,356.327,"LINESTRING (-77.0544857 -12.007425, -77.0545495 -12.0074349, -77.0557687 -12.0076028, -77.0560943 -12.0076477, -77.0561905 -12.0076611, -77.0563448 -12.0076825, -77.0564154 -12.0076912, -77.0564874 -12.0077013, -77.0575887 -12.007855, -77.0577295 -12.0078745)",,N/A,,
239202062,True,,,primary_link,,False,128.308,"LINESTRING (-77.0601538 -12.0081978, -77.0602231 -12.0081983, -77.0602633 -12.008197, -77.0603086 -12.0081913, -77.0603572 -12.0081812, -77.0604068 -12.0081694, -77.0604558 -12.0081553, -77.0605087 -12.0081379, -77.0605629 -12.0081146, -77.0605914 -12.0081006, -77.0606308 -12.0080742, -77.0606845 -12.0080372, -77.0607185 -12.0080115, -77.0607649 -12.00797, -77.0608153 -12.0079229, -77.0608493 -12.0078895, -77.0608842 -12.007848, -77.0609047 -12.0078209, -77.060925 -12.0077895, -77.0609413 -12.0077614, -77.060955 -12.007729, -77.0609728 -12.0076854, -77.0609901 -12.0076285, -77.0610073 -12.0075484)",,N/A,,
330425206,True,2,Avenida Tomás Valle,primary,50,False,36.741,"LINESTRING (-77.0601538 -12.0081978, -77.0603131 -12.0082229, -77.0604067 -12.0082328, -77.060489 -12.0082344)",,N/A,,
"[284925931, 445598694]",True,3,Avenida Túpac Amaru,primary,50,False,625.2700000000001,"LINESTRING (-77.0571084 -11.9890584, -77.0571081 -11.9891421, -77.0571206 -11.9893338, -77.0571941 -11.9900474, -77.0572516 -11.990755, -77.0573181 -11.9914159, -77.0573515 -11.9917217, -77.0573691 -11.9920437, -77.0573719 -11.9922419, -77.057355 -11.9924246, -77.0573201 -11.9926635, -77.0572885 -11.9928079, -77.0572294 -11.9929973, -77.0571562 -11.9931873, -77.0570765 -11.993372, -77.0569787 -11.9935494, -77.0567831 -11.9938564, -77.0565443 -11.9942519, -77.0565254 -11.9942832, -77.0564242 -11.9944513)",,N/A,,
334600045,True,,Avenida Carlos Alberto Izaguirre,secondary,50,False,8.352,"LINESTRING (-77.0571084 -11.9890584, -77.0570625 -11.9890516, -77.0570327 -11.9890459)",,N/A,,
68863201,False,,Las Casuarinas,residential,,True,53.909,"LINESTRING (-77.053524 -12.0080626, -77.0535068 -12.0080592, -77.0530382 -12.0079664)",,N/A,,
"[337426082, 280222796]",True,"['3', '2']",Avenida Túpac Amaru,primary,"['50', '60']",False,102.165,"LINESTRING (-77.053524 -12.0080626, -77.05363 -12.0075196, -77.0536374 -12.0074705, -77.053665 -12.0073359, -77.0536925 -12.0072012, -77.0537013 -12.0071604)",,N/A,,
176513332,True,,Las Violetas,tertiary,40,False,155.739,"LINESTRING (-77.0547854 -12.0009087, -77.0548005 -12.0005287, -77.0548112 -12.0002207, -77.0548313 -12.0000303, -77.0548856 -11.9995123)",,N/A,,
"[1155899253, 1155899254]",True,3,Avenida Túpac Amaru,primary,50,False,356.05899999999997,"LINESTRING (-77.0547854 -12.0009087, -77.055097 -11.9985416, -77.0551273 -11.9983019, -77.0551568 -11.9980692, -77.0551581 -11.9978994, -77.0551585 -11.9978399, -77.0551608 -11.9977877, -77.0551593 -11.9977298)",,N/A,,
654057949,True,,Avenida Túpac Amaru,primary,50,False,30.777,"LINESTRING (-77.0547458 -12.0033127, -77.0547017 -12.0035861)",,N/A,,
1001911340,True,3,Avenida Túpac Amaru,primary,50,False,109.35799999999999,"LINESTRING (-77.055424 -11.9977328, -77.0554254 -11.9978417, -77.0554258 -11.9978671, -77.0554115 -11.9983444, -77.0553636 -11.9987131)",,N/A,,
68863200,False,,Los Cipreses,residential,,False,66.88900000000001,"LINESTRING (-77.0505433 -12.0055672, -77.0508039 -12.0056192, -77.0511459 -12.0056874)",,N/A,,
693974825,False,,Los Eucaliptos,residential,,False,58.675999999999995,"LINESTRING (-77.0505433 -12.0055672, -77.0503156 -12.0058108, -77.0502987 -12.0058366, -77.05029 -12.0058663, -77.0502646 -12.0060001)",,N/A,,
693974825,False,,Los Eucaliptos,residential,,True,18.816,"LINESTRING (-77.0505433 -12.0055672, -77.0506044 -12.0055039, -77.0506645 -12.0054465)",,N/A,,
68863200,False,,Los Cipreses,residential,,False,51.371,"LINESTRING (-77.0525033 -12.0059583, -77.0529661 -12.0060506)",,N/A,,
68863210,False,,Los Ficus,residential,,True,33.251,"LINESTRING (-77.0525033 -12.0059583, -77.0525575 -12.005664)",,N/A,,
68863200,False,,Los Cipreses,residential,,True,51.606,"LINESTRING (-77.0525033 -12.0059583, -77.0524349 -12.0059446, -77.0520384 -12.0058655)",,N/A,,
68863210,False,,Los Ficus,residential,,False,50.753,"LINESTRING (-77.0525033 -12.0059583, -77.052462 -12.0061714, -77.0524258 -12.006364, -77.0524178 -12.006407)",,N/A,,
68863201,False,,Las Casuarinas,residential,,False,52.201,"LINESTRING (-77.052144 -12.0077894, -77.0526144 -12.0078826)",,N/A,,
68863210,False,,Los Ficus,residential,,False,29.277,"LINESTRING (-77.052144 -12.0077894, -77.0520934 -12.008048)",,N/A,,
68863210,False,,Los Ficus,residential,,True,144.52100000000002,"LINESTRING (-77.052144 -12.0077894, -77.0522863 -12.0070579, -77.0523839 -12.0065784, -77.0523971 -12.0065135)",,N/A,,
68863201,False,,Las Casuarinas,residential,,False,47.026,"LINESTRING (-77.0526144 -12.0078826, -77.0530382 -12.0079664)",,N/A,,
68863201,False,,Las Casuarinas,residential,,True,52.201,"LINESTRING (-77.0526144 -12.0078826, -77.052144 -12.0077894)",,N/A,,
68863208,False,,Calle Los Cedros,residential,,True,144.887,"LINESTRING (-77.0526144 -12.0078826, -77.0528576 -12.0066015)",,N/A,,
68863209,False,,Calle Los Damascos,residential,,False,145.194,"LINESTRING (-77.0532933 -12.0066847, -77.0530382 -12.0079664)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,48.282000000000004,"LINESTRING (-77.0532933 -12.0066847, -77.0528785 -12.0066055, -77.0528576 -12.0066015)",,N/A,,
68863208,False,,Calle Los Cedros,residential,,False,144.887,"LINESTRING (-77.0528576 -12.0066015, -77.0526144 -12.0078826)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,51.032,"LINESTRING (-77.0528576 -12.0066015, -77.0524601 -12.0065256, -77.0523971 -12.0065135)",,N/A,,
68863210,False,,Los Ficus,residential,,True,12.054,"LINESTRING (-77.0523971 -12.0065135, -77.0524178 -12.006407)",,N/A,,
68863210,False,,Los Ficus,residential,,False,144.52100000000002,"LINESTRING (-77.0523971 -12.0065135, -77.0523839 -12.0065784, -77.0522863 -12.0070579, -77.052144 -12.0077894)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,52.48199999999999,"LINESTRING (-77.0523971 -12.0065135, -77.052324 -12.0064996, -77.0519979 -12.0064373, -77.0519235 -12.0064231)",,N/A,,
68863204,False,,Los Nardos,residential,,False,54.278,"LINESTRING (-77.0519235 -12.0064231, -77.051829 -12.0069024)",,N/A,,
441542358,False,,Los Nardos,residential,,False,12.018,"LINESTRING (-77.0519235 -12.0064231, -77.0519429 -12.0063167)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,98.804,"LINESTRING (-77.0519235 -12.0064231, -77.0518357 -12.0064063, -77.0515237 -12.0063467, -77.051096 -12.006265, -77.0510319 -12.0062528)",,N/A,,
68863210,False,,Los Ficus,residential,,False,12.054,"LINESTRING (-77.0524178 -12.006407, -77.0523971 -12.0065135)",,N/A,,
68863210,False,,Los Ficus,residential,,True,50.753,"LINESTRING (-77.0524178 -12.006407, -77.0524258 -12.006364, -77.052462 -12.0061714, -77.0525033 -12.0059583)",,N/A,,
118543095,True,,16 de Marzo,residential,45,False,152.022,"LINESTRING (-77.0524178 -12.006407, -77.0524814 -12.006419, -77.0528608 -12.0064912, -77.0532931 -12.0065733, -77.0536997 -12.0066506, -77.0537899 -12.0066677)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,False,120.935,"LINESTRING (-77.0510358 -12.0085869, -77.0508257 -12.0096549)",,N/A,,
68864309,False,,Los Jacintos,residential,,False,50.024,"LINESTRING (-77.0510358 -12.0085869, -77.0514873 -12.0086727)",,N/A,,
68864309,False,,Los Jacintos,residential,,True,49.531,"LINESTRING (-77.0510358 -12.0085869, -77.0505888 -12.0085017)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,False,50.802,"LINESTRING (-77.0508257 -12.0096549, -77.0507372 -12.0101035)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,True,120.935,"LINESTRING (-77.0508257 -12.0096549, -77.0510358 -12.0085869)",,N/A,,
