y,x,street_count,highway,ref,geometry
-12.0043119,-77.0612641,3,N/A,N/A,POINT (-77.0612641 -12.0043119)
-12.0037202,-77.058111,3,N/A,N/A,POINT (-77.058111 -12.0037202)
-12.0040879,-77.0617154,3,N/A,N/A,POINT (-77.0617154 -12.0040879)
-12.0024254,-77.057832,3,N/A,N/A,POINT (-77.057832 -12.0024254)
-12.0032621,-77.0577203,3,N/A,N/A,POINT (-77.0577203 -12.0032621)
-12.0037879,-77.0576867,3,N/A,N/A,POINT (-77.0576867 -12.0037879)
-11.9977285,-77.0550446,4,traffic_signals,N/A,POINT (-77.0550446 -11.9977285)
-11.9952383,-77.0553937,4,N/A,N/A,POINT (-77.0553937 -11.9952383)
-11.9941721,-77.0560441,3,N/A,N/A,POINT (-77.0560441 -11.9941721)
-11.9857104,-77.0575659,3,N/A,N/A,POINT (-77.0575659 -11.9857104)
-11.9890743,-77.0572087,4,N/A,N/A,POINT (-77.0572087 -11.9890743)
-11.9868434,-77.0580587,3,N/A,N/A,POINT (-77.0580587 -11.9868434)
-11.9769892,-77.0596879,4,N/A,N/A,POINT (-77.0596879 -11.9769892)
-11.9767618,-77.0602143,4,N/A,N/A,POINT (-77.0602143 -11.9767618)
-11.9835799,-77.0611814,4,N/A,N/A,POINT (-77.0611814 -11.9835799)
-11.9837911,-77.0624939,3,N/A,N/A,POINT (-77.0624939 -11.9837911)
-11.9891732,-77.0587912,3,N/A,N/A,POINT (-77.0587912 -11.9891732)
-11.9889355,-77.0572138,4,N/A,N/A,POINT (-77.0572138 -11.9889355)
-11.9887131,-77.0568386,3,N/A,N/A,POINT (-77.0568386 -11.9887131)
-12.007425,-77.0544857,3,N/A,N/A,POINT (-77.0544857 -12.007425)
-12.0081978,-77.0601538,3,N/A,N/A,POINT (-77.0601538 -12.0081978)
-11.9890584,-77.0571084,4,N/A,N/A,POINT (-77.0571084 -11.9890584)
-12.0080626,-77.053524,3,N/A,N/A,POINT (-77.053524 -12.0080626)
-12.0009087,-77.0547854,3,N/A,N/A,POINT (-77.0547854 -12.0009087)
-12.0033127,-77.0547458,3,N/A,N/A,POINT (-77.0547458 -12.0033127)
-11.9977328,-77.055424,3,N/A,N/A,POINT (-77.055424 -11.9977328)
-12.0055672,-77.0505433,3,N/A,N/A,POINT (-77.0505433 -12.0055672)
-12.0059583,-77.0525033,4,N/A,N/A,POINT (-77.0525033 -12.0059583)
-12.0077894,-77.052144,3,N/A,N/A,POINT (-77.052144 -12.0077894)
-12.0078826,-77.0526144,3,N/A,N/A,POINT (-77.0526144 -12.0078826)
-12.0066847,-77.0532933,3,N/A,N/A,POINT (-77.0532933 -12.0066847)
-12.0066015,-77.0528576,3,N/A,N/A,POINT (-77.0528576 -12.0066015)
-12.0065135,-77.0523971,4,N/A,N/A,POINT (-77.0523971 -12.0065135)
-12.0064231,-77.0519235,4,N/A,N/A,POINT (-77.0519235 -12.0064231)
-12.006407,-77.0524178,4,N/A,N/A,POINT (-77.0524178 -12.006407)
-12.0085869,-77.0510358,3,N/A,N/A,POINT (-77.0510358 -12.0085869)
-12.0096549,-77.0508257,4,N/A,N/A,POINT (-77.0508257 -12.0096549)
-12.0101035,-77.0507372,3,N/A,N/A,POINT (-77.0507372 -12.0101035)
-12.0105632,-77.0506465,3,N/A,N/A,POINT (-77.0506465 -12.0105632)
-12.0086727,-77.0514873,3,N/A,N/A,POINT (-77.0514873 -12.0086727)
-12.0097407,-77.0512754,3,N/A,N/A,POINT (-77.0512754 -12.0097407)
-12.0102718,-77.0516532,3,N/A,N/A,POINT (-77.0516532 -12.0102718)
-12.0015265,-77.0532775,4,N/A,N/A,POINT (-77.0532775 -12.0015265)
-12.0019941,-77.0532749,3,N/A,N/A,POINT (-77.0532749 -12.0019941)
-12.0098302,-77.0517446,3,N/A,N/A,POINT (-77.0517446 -12.0098302)
-12.0107197,-77.0515602,3,N/A,N/A,POINT (-77.0515602 -12.0107197)
-12.0095689,-77.0503787,3,N/A,N/A,POINT (-77.0503787 -12.0095689)
-12.0022845,-77.0576723,3,N/A,N/A,POINT (-77.0576723 -12.0022845)
-12.002172,-77.0568344,3,N/A,N/A,POINT (-77.0568344 -12.002172)
-12.0021009,-77.0563485,4,N/A,N/A,POINT (-77.0563485 -12.0021009)
-12.0018842,-77.0550131,3,N/A,N/A,POINT (-77.0550131 -12.0018842)
-12.0023636,-77.054935,3,N/A,N/A,POINT (-77.054935 -12.0023636)
-12.0025687,-77.056267,3,N/A,N/A,POINT (-77.056267 -12.0025687)
-12.0026403,-77.0567741,3,N/A,N/A,POINT (-77.0567741 -12.0026403)
-12.00312,-77.0567155,3,N/A,N/A,POINT (-77.0567155 -12.00312)
-12.002765,-77.0576182,3,N/A,N/A,POINT (-77.0576182 -12.002765)
-12.0035388,-77.0560981,4,N/A,N/A,POINT (-77.0560981 -12.0035388)
-12.0042119,-77.0573799,3,N/A,N/A,POINT (-77.0573799 -12.0042119)
-12.0039961,-77.0560293,3,N/A,N/A,POINT (-77.0560293 -12.0039961)
-12.0030448,-77.0561841,4,N/A,N/A,POINT (-77.0561841 -12.0030448)
-12.0044619,-77.0527922,3,N/A,N/A,POINT (-77.0527922 -12.0044619)
-12.0054894,-77.0535246,3,N/A,N/A,POINT (-77.0535246 -12.0054894)
-12.0062318,-77.0538741,3,N/A,N/A,POINT (-77.0538741 -12.0062318)
-12.0054087,-77.053092,3,N/A,N/A,POINT (-77.053092 -12.0054087)
-12.0051227,-77.0516374,3,N/A,N/A,POINT (-77.0516374 -12.0051227)
-12.0076614,-77.0497287,3,N/A,N/A,POINT (-77.0497287 -12.0076614)
-12.00602,-77.0501045,3,N/A,N/A,POINT (-77.0501045 -12.00602)
-12.0035733,-77.0529707,4,N/A,N/A,POINT (-77.0529707 -12.0035733)
-12.0053207,-77.0526209,3,N/A,N/A,POINT (-77.0526209 -12.0053207)
-12.004881,-77.0527085,4,N/A,N/A,POINT (-77.0527085 -12.004881)
-12.0071719,-77.0508507,3,N/A,N/A,POINT (-77.0508507 -12.0071719)
